timestamp,value
2022-02-01T08:03:01.025Z,7
2022-02-03T06:11:27.010Z,5
2022-02-02T06:08:28.000Z,6
2022-02-01T00:09:24.031Z,4
2022-01-31T01:06:01.018Z,1
2022-02-01T02:09:06.002Z,8
2022-01-31T05:00:28.029Z,5
2022-02-04T06:02:27.008Z,8
2022-02-03T02:06:08.034Z,3
2022-02-04T06:08:01.029Z,0
2022-02-04T05:08:00.013Z,0
2022-02-03T07:05:21.013Z,2
2022-02-02T00:04:17.027Z,2
2022-01-31T23:03:08.037Z,8
2022-01-31T02:04:24.002Z,7
2022-02-04T03:04:23.014Z,9
2022-02-04T04:02:07.032Z,2
2022-02-03T04:03:17.007Z,9
2022-01-31T02:08:10.007Z,0
2022-02-01T03:05:07.024Z,3
2022-02-03T05:05:18.001Z,6
2022-02-03T03:02:19.005Z,2
2022-02-01T08:07:28.020Z,0
2022-02-01T05:07:27.031Z,4
2022-01-31T08:07:03.021Z,2
2022-02-01T06:07:25.014Z,8
2022-02-01T01:01:00.036Z,5
2022-01-31T01:09:04.022Z,9
2022-02-02T23:08:05.023Z,5
2022-02-03T05:05:02.011Z,2
2022-02-04T06:04:25.033Z,4
2022-02-04T08:01:04.038Z,2
2022-02-01T04:06:10.013Z,0
2022-02-01T02:05:27.039Z,5
2022-02-03T08:08:12.024Z,1
2022-02-03T04:02:15.017Z,4
2022-02-01T04:09:03.029Z,4
2022-01-31T03:00:19.012Z,6
2022-02-04T06:07:07.007Z,3
2022-02-02T01:10:10.021Z,3
2022-02-01T05:05:07.039Z,4
2022-02-02T08:11:23.013Z,9
2022-02-01T07:01:21.021Z,5
2022-02-04T00:09:13.018Z,5
2022-02-02T23:08:06.025Z,9
2022-01-30T23:02:10.015Z,0
2022-02-01T08:00:02.012Z,7
2022-02-01T01:04:18.023Z,0
2022-01-31T23:04:15.009Z,9
2022-02-01T00:10:22.009Z,6
2022-02-02T03:09:21.018Z,7
2022-02-02T02:05:28.012Z,6
2022-02-03T03:05:03.029Z,0
2022-01-31T06:07:10.037Z,1
2022-02-03T06:03:22.023Z,6
2022-01-31T23:03:20.036Z,6
2022-01-31T01:09:06.003Z,8
2022-02-02T05:11:04.021Z,5
2022-02-04T08:08:00.026Z,6
2022-02-01T00:02:05.023Z,3
2022-02-01T07:03:11.004Z,8
2022-01-31T08:04:00.004Z,1
2022-02-02T01:01:21.035Z,1
2022-02-03T00:07:17.013Z,4
2022-02-04T00:07:13.023Z,1
2022-02-03T02:00:00.032Z,9
2022-01-31T02:01:16.015Z,9
2022-02-04T00:04:06.014Z,4
2022-01-31T06:05:05.025Z,2
2022-02-04T00:09:16.004Z,1
2022-02-01T04:01:07.017Z,1
2022-02-01T23:04:27.017Z,7
2022-02-02T02:04:16.008Z,5
2022-02-03T02:09:06.032Z,0
2022-02-04T03:08:22.000Z,0
2022-02-03T04:01:06.036Z,5
2022-02-02T08:04:27.003Z,9
2022-01-31T08:05:07.015Z,8
2022-02-01T06:09:08.027Z,0
2022-02-02T03:02:12.030Z,2
2022-01-31T01:05:22.020Z,0
2022-02-04T06:07:03.020Z,2
2022-02-04T01:00:27.027Z,4
2022-02-03T02:02:23.028Z,5
2022-01-31T23:11:00.021Z,0
2022-02-03T08:05:17.029Z,0
2022-01-31T03:09:06.007Z,0
2022-01-31T01:03:02.003Z,9
2022-02-01T05:00:09.002Z,9
